ad_id,user_id,device_type,browser,hour,clicked
1051,2037,mobile,edge,7,0
1092,2037,mobile,firefox,19,1
1014,2052,tablet,firefox,0,0
1071,2092,mobile,edge,13,0
1060,2099,tablet,edge,20,0
1020,2089,mobile,firefox,20,0
1082,2030,tablet,edge,1,0
1086,2043,desktop,edge,5,0
1074,2059,tablet,safari,8,0
1074,2075,tablet,safari,13,0
1087,2016,mobile,edge,21,1
1099,2078,tablet,edge,7,1
1023,2072,tablet,safari,2,0
1002,2038,mobile,safari,9,0
1021,2041,desktop,edge,17,0
1052,2047,desktop,safari,19,0
1001,2011,desktop,firefox,8,0
1087,2095,tablet,chrome,8,0
1029,2088,mobile,firefox,18,1
1037,2017,desktop,safari,12,0
1001,2078,desktop,firefox,0,0
1063,2095,desktop,chrome,16,0
1059,2005,desktop,safari,3,0
1020,2042,mobile,firefox,3,0
1032,2034,desktop,firefox,15,0
1075,2097,tablet,chrome,15,0
1057,2053,tablet,safari,14,0
1021,2061,mobile,edge,5,0
1088,2068,desktop,safari,4,0
1048,2081,desktop,chrome,21,0
1090,2015,tablet,chrome,9,0
1058,2007,mobile,chrome,6,1
1041,2088,tablet,chrome,6,0
1091,2095,mobile,edge,9,0
1059,2089,mobile,safari,9,0
1079,2085,mobile,safari,14,0
1014,2030,tablet,firefox,5,0
1061,2009,mobile,edge,23,0
1061,2055,tablet,edge,1,0
1046,2075,tablet,firefox,7,0
1061,2091,desktop,firefox,19,0
1050,2069,tablet,safari,14,0
1054,2019,tablet,safari,20,0
1063,2004,desktop,safari,20,0
1002,2022,desktop,edge,17,0
1050,2008,desktop,edge,4,0
1006,2057,mobile,firefox,3,0
1020,2058,mobile,chrome,9,0
1072,2092,desktop,chrome,18,0
1038,2079,mobile,chrome,13,0
1017,2053,desktop,chrome,22,0
1003,2045,mobile,chrome,23,0
1088,2021,tablet,safari,12,0
1059,2063,mobile,firefox,9,0
1013,2007,mobile,chrome,21,0
1008,2019,tablet,chrome,5,1
1089,2050,desktop,chrome,12,1
1052,2077,mobile,safari,20,0
1001,2038,mobile,chrome,10,0
1083,2036,tablet,firefox,21,0
1091,2049,tablet,safari,14,0
1059,2033,tablet,safari,1,0
1070,2074,tablet,edge,14,0
1043,2032,desktop,edge,18,0
1007,2030,mobile,safari,16,0
1046,2053,mobile,chrome,19,0
1034,2043,mobile,chrome,17,0
1077,2033,mobile,chrome,5,0
1080,2070,desktop,chrome,14,0
1035,2061,mobile,edge,16,1
1049,2022,desktop,firefox,23,0
1003,2045,desktop,safari,21,0
1001,2055,tablet,chrome,8,0
1005,2006,tablet,edge,11,1
1053,2088,mobile,firefox,21,0
1003,2060,desktop,safari,22,0
1053,2002,tablet,safari,4,1
1092,2037,desktop,safari,13,0
1062,2083,tablet,chrome,23,0
1017,2033,desktop,safari,7,0
1089,2043,mobile,chrome,21,0
1043,2029,mobile,firefox,16,0
1033,2016,desktop,edge,8,0
1073,2058,tablet,edge,2,0
1061,2009,tablet,edge,6,1
1099,2098,mobile,safari,11,0
1013,2083,mobile,edge,2,0
1094,2017,mobile,firefox,8,0
1047,2044,tablet,chrome,13,0
1014,2090,tablet,edge,22,0
1071,2058,mobile,chrome,22,0
1077,2061,desktop,chrome,22,0
1086,2058,tablet,edge,17,1
1061,2048,mobile,edge,10,0
1039,2099,desktop,edge,3,0
1084,2062,tablet,safari,7,0
1079,2086,desktop,edge,17,0
1081,2031,desktop,safari,12,0
1052,2009,tablet,firefox,3,0
1023,2010,mobile,chrome,9,0
1025,2069,desktop,firefox,7,0
1088,2061,mobile,edge,11,0
1059,2046,tablet,chrome,18,0
1040,2033,desktop,edge,11,0
1028,2099,desktop,edge,21,0
1014,2016,desktop,chrome,1,0
1044,2053,desktop,firefox,23,0
1064,2075,desktop,edge,7,0
1088,2084,tablet,chrome,12,0
1070,2039,desktop,firefox,0,0
1008,2018,tablet,safari,2,0
1087,2066,mobile,firefox,1,0
1000,2081,tablet,firefox,22,0
1007,2052,desktop,chrome,22,0
1087,2063,mobile,firefox,19,0
1062,2082,tablet,safari,7,0
1010,2046,tablet,safari,2,0
1080,2005,tablet,edge,20,0
1007,2015,desktop,safari,14,0
1034,2071,desktop,edge,1,0
1034,2017,tablet,safari,16,0
1032,2051,tablet,firefox,23,0
1004,2047,mobile,edge,5,0
1040,2042,desktop,safari,0,1
1027,2038,desktop,firefox,3,0
1006,2048,mobile,firefox,18,0
1072,2011,tablet,edge,6,0
1071,2009,tablet,chrome,22,0
1011,2070,mobile,firefox,21,0
1033,2054,tablet,firefox,13,0
1032,2000,tablet,chrome,13,1
1047,2048,mobile,edge,9,0
1022,2035,mobile,safari,23,0
1061,2020,mobile,safari,6,0
1087,2036,tablet,firefox,15,0
1036,2023,mobile,chrome,3,0
1098,2054,tablet,firefox,6,0
1043,2024,desktop,edge,14,0
1085,2006,desktop,firefox,16,0
1090,2080,mobile,safari,2,0
1034,2092,tablet,chrome,15,0
1064,2093,tablet,edge,1,0
1098,2070,tablet,firefox,6,0
1046,2096,mobile,safari,15,0
1077,2070,tablet,firefox,20,0
1002,2023,tablet,safari,8,0
1000,2010,tablet,chrome,11,0
1004,2072,desktop,edge,23,0
1089,2011,tablet,firefox,0,0
1013,2034,desktop,edge,13,0
1026,2062,tablet,chrome,10,0
1008,2067,tablet,safari,17,0
1078,2099,tablet,chrome,21,0
1014,2091,desktop,chrome,4,0
1089,2056,tablet,edge,14,0
1041,2012,mobile,chrome,6,0
1076,2022,tablet,firefox,13,0
1050,2082,desktop,safari,19,1
1062,2038,desktop,chrome,7,1
1095,2087,mobile,firefox,3,0
1051,2079,mobile,safari,2,0
1095,2096,mobile,edge,11,1
1003,2011,desktop,safari,17,0
1093,2033,tablet,edge,23,1
1022,2070,tablet,safari,14,0
1014,2074,mobile,chrome,10,0
1042,2030,mobile,edge,23,1
1028,2092,tablet,edge,10,0
1035,2061,mobile,edge,11,0
1012,2012,tablet,chrome,18,0
1031,2030,tablet,chrome,16,1
1070,2001,tablet,safari,5,0
1058,2014,tablet,safari,20,1
1085,2056,desktop,chrome,7,0
1027,2074,tablet,chrome,14,1
1065,2033,mobile,edge,21,0
1041,2067,mobile,safari,19,0
1044,2074,mobile,safari,9,0
1061,2028,mobile,edge,14,0
1056,2065,desktop,edge,11,1
1005,2015,tablet,edge,10,0
1027,2038,tablet,firefox,17,0
1027,2076,mobile,firefox,23,0
1043,2036,mobile,chrome,4,0
1083,2080,mobile,safari,11,0
1029,2020,tablet,edge,23,0
1061,2043,desktop,edge,4,0
1074,2018,desktop,safari,21,0
1091,2070,desktop,firefox,9,0
1088,2007,desktop,safari,13,1
1061,2076,mobile,chrome,15,0
1096,2065,tablet,firefox,4,0
1000,2040,mobile,safari,10,1
1026,2074,desktop,safari,18,0
1061,2087,mobile,chrome,7,0
1076,2069,desktop,safari,18,0
1002,2060,tablet,firefox,19,0
1069,2025,desktop,edge,21,0
1071,2070,mobile,edge,17,0
1026,2082,tablet,edge,22,0
1008,2069,desktop,firefox,20,0
1061,2028,desktop,safari,11,0
1036,2065,tablet,safari,12,0
1096,2018,mobile,safari,20,0
1050,2067,tablet,safari,20,0
1043,2057,mobile,edge,17,0
1023,2069,desktop,firefox,14,0
1078,2056,desktop,chrome,14,0
1058,2036,tablet,firefox,11,1
1031,2060,desktop,safari,8,0
1095,2091,tablet,safari,18,1
1087,2029,desktop,firefox,11,0
1051,2070,desktop,firefox,22,1
1061,2072,mobile,edge,4,0
1057,2024,tablet,safari,20,0
1051,2096,tablet,firefox,19,0
1011,2064,desktop,safari,9,0
1038,2005,mobile,firefox,21,0
1001,2017,mobile,safari,6,0
1002,2009,tablet,firefox,22,0
1055,2091,tablet,safari,10,0
1080,2010,desktop,chrome,7,0
1058,2096,tablet,edge,20,0
1001,2064,desktop,chrome,6,0
1001,2076,mobile,edge,15,1
1091,2083,tablet,edge,15,0
1053,2064,mobile,firefox,13,1
1086,2051,mobile,chrome,14,0
1095,2066,desktop,edge,19,1
1096,2081,mobile,safari,8,0
1000,2077,desktop,firefox,15,0
1018,2030,desktop,firefox,15,0
1001,2090,mobile,safari,4,0
1052,2016,mobile,safari,2,0
1043,2054,desktop,edge,20,0
1089,2092,desktop,safari,12,0
1031,2035,mobile,firefox,7,0
1069,2025,desktop,safari,16,0
1031,2052,desktop,chrome,4,1
1067,2016,tablet,firefox,5,0
1054,2085,tablet,safari,1,0
1074,2024,tablet,firefox,21,0
1055,2001,tablet,edge,13,0
1016,2085,tablet,chrome,3,1
1037,2004,desktop,edge,2,0
1023,2003,desktop,chrome,8,0
1068,2035,tablet,safari,17,0
1097,2005,mobile,firefox,11,0
1069,2020,tablet,safari,8,0
1085,2076,mobile,edge,17,0
1010,2088,desktop,firefox,12,0
1015,2025,mobile,safari,13,0
1096,2054,desktop,safari,9,0
1072,2038,mobile,firefox,2,0
1058,2083,desktop,firefox,6,0
1069,2032,desktop,edge,17,0
1079,2013,tablet,chrome,15,0
1092,2055,desktop,chrome,16,0
1002,2099,tablet,firefox,5,0
1019,2080,tablet,chrome,11,0
1058,2020,tablet,edge,18,1
1035,2045,mobile,chrome,2,0
1018,2015,mobile,firefox,2,0
1089,2015,desktop,edge,17,0
1066,2083,tablet,firefox,10,0
1018,2028,tablet,edge,5,0
1019,2091,desktop,edge,18,1
1095,2007,tablet,firefox,4,0
1070,2087,desktop,safari,12,0
1051,2002,tablet,firefox,4,0
1032,2088,mobile,edge,2,1
1039,2018,desktop,firefox,18,0
1038,2096,desktop,firefox,16,0
1081,2065,mobile,edge,21,0
1000,2078,desktop,chrome,2,0
1010,2085,mobile,edge,14,0
1091,2073,tablet,firefox,16,1
1056,2081,mobile,edge,12,0
1088,2021,mobile,edge,13,0
1049,2045,desktop,chrome,15,1
1022,2090,tablet,safari,10,1
1030,2012,mobile,firefox,16,0
1093,2032,tablet,firefox,4,0
1041,2004,mobile,chrome,20,0
1098,2089,desktop,edge,14,1
1006,2076,mobile,safari,17,0
1015,2026,mobile,firefox,15,0
1089,2077,tablet,safari,13,0
1059,2023,mobile,safari,13,0
1001,2066,desktop,edge,12,0
1000,2062,desktop,edge,0,0
1047,2093,mobile,edge,5,0
1011,2098,mobile,firefox,22,0
1068,2047,tablet,safari,10,0
1036,2062,tablet,safari,10,0
1031,2077,desktop,firefox,15,0
1008,2011,tablet,chrome,23,0
1098,2027,mobile,edge,2,0
1018,2043,desktop,firefox,16,1
1047,2092,tablet,edge,21,0
1079,2042,desktop,safari,13,0
1002,2016,mobile,firefox,1,0
1019,2039,tablet,chrome,8,0
1023,2048,mobile,edge,7,0
1053,2084,mobile,safari,10,0
1032,2056,desktop,safari,6,0
1023,2086,desktop,chrome,21,0
1074,2083,desktop,chrome,1,1
1071,2063,tablet,edge,3,0
1035,2074,tablet,safari,22,0
1037,2056,desktop,chrome,13,0
1083,2097,tablet,firefox,12,0
1098,2073,tablet,chrome,21,0
1088,2073,desktop,firefox,12,0
1098,2069,mobile,safari,12,0
1024,2099,tablet,edge,4,0
1092,2087,tablet,safari,11,0
1017,2075,mobile,safari,5,0
1081,2042,mobile,safari,21,0
1065,2022,mobile,safari,13,0
1053,2026,desktop,edge,7,0
1034,2057,mobile,chrome,23,0
1079,2036,desktop,edge,21,0
1060,2005,mobile,edge,7,0
1040,2064,mobile,edge,6,1
1099,2005,desktop,edge,16,1
1032,2049,desktop,chrome,20,0
1067,2021,mobile,safari,10,0
1032,2087,mobile,chrome,9,0
1013,2024,mobile,chrome,12,0
1020,2078,tablet,safari,9,1
1047,2089,mobile,chrome,20,0
1019,2071,desktop,edge,13,0
1007,2050,tablet,edge,8,0
1006,2087,desktop,safari,6,0
1066,2047,tablet,safari,6,1
1016,2069,tablet,safari,17,1
1032,2098,desktop,edge,15,0
1047,2064,tablet,safari,7,0
1075,2059,desktop,chrome,15,0
1058,2045,mobile,chrome,18,0
1085,2035,tablet,firefox,14,1
1021,2057,desktop,firefox,14,0
1029,2075,tablet,safari,5,0
1037,2037,desktop,firefox,8,0
1050,2010,mobile,edge,14,0
1053,2011,mobile,edge,6,0
1007,2041,tablet,chrome,7,0
1026,2038,tablet,chrome,17,0
1026,2070,desktop,firefox,20,0
1097,2010,desktop,firefox,15,0
1020,2035,tablet,edge,14,0
1029,2051,desktop,chrome,2,0
1096,2030,desktop,firefox,0,1
1027,2032,desktop,edge,12,1
1063,2012,tablet,chrome,21,0
1096,2017,mobile,edge,11,0
1068,2040,mobile,edge,8,0
1060,2057,desktop,chrome,1,0
1047,2055,tablet,edge,8,1
1018,2023,desktop,firefox,7,0
1003,2072,mobile,edge,4,0
1034,2030,desktop,firefox,12,0
1063,2054,mobile,safari,1,0
1048,2009,tablet,safari,9,1
1016,2059,desktop,safari,5,0
1043,2001,tablet,edge,6,0
1091,2014,desktop,safari,2,0
1029,2002,desktop,safari,13,0
1092,2042,desktop,edge,15,0
1045,2030,desktop,chrome,5,0
1005,2069,desktop,edge,21,0
1098,2066,tablet,firefox,7,1
1036,2055,tablet,edge,0,0
1023,2062,mobile,chrome,19,0
1092,2074,desktop,safari,14,0
1045,2014,mobile,edge,16,0
1052,2091,tablet,safari,23,1
1094,2009,mobile,firefox,17,0
1098,2037,tablet,chrome,23,1
1059,2046,desktop,safari,2,0
1096,2056,mobile,safari,23,1
1062,2049,mobile,safari,5,0
1084,2070,mobile,safari,16,0
1031,2014,mobile,edge,22,0
1086,2017,desktop,chrome,12,0
1032,2081,tablet,chrome,22,0
1066,2087,tablet,safari,21,0
1017,2001,desktop,chrome,16,0
1024,2083,tablet,safari,20,1
1094,2097,mobile,firefox,15,0
1053,2042,desktop,firefox,16,1
1057,2025,tablet,firefox,0,0
1066,2070,desktop,chrome,15,0
1045,2037,desktop,safari,5,0
1023,2093,tablet,edge,7,1
1031,2041,tablet,edge,0,0
1046,2004,desktop,firefox,1,0
1085,2010,desktop,firefox,14,0
1022,2064,tablet,chrome,4,0
1065,2033,desktop,edge,23,1
1026,2000,tablet,chrome,19,0
1001,2082,desktop,firefox,14,0
1089,2001,desktop,safari,20,0
1016,2084,desktop,safari,9,0
1032,2019,tablet,safari,4,0
1008,2060,mobile,firefox,2,0
1042,2086,tablet,chrome,5,0
1047,2020,desktop,safari,20,0
1038,2087,mobile,edge,14,0
1092,2067,mobile,edge,17,0
1041,2011,desktop,firefox,13,1
1025,2021,tablet,edge,9,0
1098,2019,mobile,edge,3,0
1049,2081,mobile,firefox,10,0
1024,2000,tablet,chrome,19,0
1023,2029,tablet,safari,6,0
1012,2096,mobile,firefox,14,0
1059,2023,tablet,edge,22,1
1006,2013,mobile,safari,8,0
